,TransactionType,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,TransactionDate_hour,TransactionWeekNumber,DaysSinceLastPurchase,MSE_AE_zscores,MSE_AE,MSE_AE_Fraud
0,1,0,70,0,81,1,5112.21,2,16,15,572.6520833333333,-0.4346774,0.7443529,False
1,1,0,68,0,141,1,13758.91,3,16,26,495.6423611111111,0.015129526,1.0088981,False
2,1,2,19,3,56,1,1122.35,1,18,28,482.57708333333335,0.19535682,1.1148953,False
3,1,2,26,3,25,1,8569.06,3,16,18,548.6506944444444,-0.34712252,0.7958466,False
4,0,2,26,3,198,1,7429.4,0,17,42,384.59375,0.51400137,1.3023,False
5,1,0,18,3,172,1,781.68,0,17,14,580.61875,0.15798105,1.0929135,False
6,0,0,37,0,139,1,13316.71,4,16,7,627.6486111111111,0.77547175,1.4560788,False
7,0,1,67,2,291,1,2796.24,4,17,19,545.5993055555556,0.27974957,1.1645293,False
8,0,1,51,1,86,1,9095.14,5,16,12,593.6333333333333,-0.27961126,0.83555204,False
9,1,0,55,0,120,1,1021.88,0,16,13,583.6666666666666,-0.13835227,0.9186308,False
10,0,2,52,1,59,1,7599.52,0,16,11,600.6388888888889,0.18004608,1.1058906,False
11,1,2,21,3,173,1,1528.81,1,17,6,636.6090277777778,0.1654243,1.0972911,False
12,0,1,24,3,111,1,1620.02,2,17,23,515.6159722222222,-0.46092153,0.7289179,False
13,1,0,26,3,123,1,189.69,1,16,47,349.64444444444445,0.09058926,1.0532783,False
14,1,2,18,3,134,1,299.93,4,16,7,629.6368055555556,0.16533896,1.0972409,False
15,1,0,36,1,129,1,3465.54,6,16,50,327.6590277777778,-0.013759025,0.9919079,False
16,0,1,19,3,158,1,1131.26,1,16,44,370.6354166666667,0.3068353,1.1804593,False
17,1,2,39,1,234,1,5109.97,5,18,50,325.56875,0.5385439,1.3167342,False
18,0,1,59,2,106,1,7948.37,6,16,8,621.6361111111111,0.13091724,1.0769964,False
19,0,2,18,3,169,1,6568.59,3,18,23,514.5770833333333,0.35728386,1.2101296,False
20,1,1,71,2,38,1,5750.89,3,16,9,614.6479166666667,-0.5181696,0.69524854,False
21,1,1,38,0,93,1,9146.19,2,18,32,450.5673611111111,-0.54157525,0.681483,False
22,1,2,39,1,120,1,8974.93,1,18,23,516.5506944444444,-0.46658808,0.7255852,False
23,1,2,22,3,142,3,1402.5,1,18,18,551.5708333333333,1.5883216,1.9341407,False
24,1,2,21,3,96,1,1930.96,1,16,9,612.6416666666667,-0.028999526,0.9829445,False
25,0,2,65,2,276,1,3634.67,3,17,42,380.59444444444443,0.45252532,1.266144,False
26,1,0,23,3,158,5,673.35,5,16,16,566.6486111111111,6.2165756,4.656159,True
27,1,1,37,1,95,1,2686.52,5,16,13,585.6451388888889,-0.91346943,0.46276054,False
28,1,2,44,0,197,1,1772.06,5,16,4,649.6618055555556,0.2154379,1.1267056,False
29,1,1,27,3,283,1,1351.69,2,16,38,410.63402777777776,0.076109566,1.0447624,False
30,0,2,59,0,20,1,8334.47,3,17,29,475.59722222222223,-0.082326025,0.95158154,False
31,1,0,29,0,257,1,9823.64,0,16,6,636.6541666666667,0.92091167,1.5416164,False
32,1,0,49,1,168,3,9690.15,5,16,39,405.65625,0.9282787,1.5459492,False
33,1,2,22,3,150,1,399.0,1,17,11,601.6138888888889,-0.07139941,0.9580078,False
34,0,1,45,0,50,1,14815.87,4,16,43,373.64444444444445,0.74919623,1.4406253,False
35,1,1,49,1,45,1,5764.72,0,16,42,384.6486111111111,-0.6040373,0.64474714,False
36,1,1,26,3,145,1,900.61,6,16,47,348.6347222222222,0.12278767,1.0722152,False
37,1,0,75,2,137,1,4875.86,5,17,9,612.5958333333333,-0.23839377,0.8597933,False
38,1,0,66,0,90,2,7914.88,5,17,41,388.6277777777778,0.040163588,1.0236214,False
39,1,2,55,2,216,1,1019.39,1,17,4,649.6180555555555,0.060794372,1.035755,False
40,1,0,63,2,119,1,4323.66,1,18,31,461.56111111111113,-0.4746788,0.7208268,False
41,1,2,38,0,19,1,14214.48,5,16,2,664.6652777777778,1.2293482,1.7230175,False
42,0,2,57,0,116,1,13357.02,3,18,16,563.55,0.82162046,1.4832202,False
43,1,0,19,3,117,1,241.79,2,16,15,571.6701388888889,-0.24150914,0.85796106,False
44,1,1,27,3,33,1,868.61,3,16,30,466.63680555555555,-0.6798297,0.60017127,False
45,1,1,74,2,90,1,4673.28,5,17,40,396.5986111111111,-0.6777422,0.601399,False
46,1,1,26,3,75,1,1509.27,4,16,50,326.67291666666665,-0.12580098,0.9260126,False
47,1,2,19,3,105,1,781.7,5,16,41,391.65416666666664,-0.023882367,0.98595405,False
48,1,2,26,3,138,1,265.51,1,16,48,342.6402777777778,0.15636763,1.0919646,False
49,0,2,41,1,175,1,1335.09,0,16,13,587.6395833333333,0.14579988,1.0857494,False
50,0,2,69,2,121,1,3907.54,1,16,7,629.6305555555556,0.23699255,1.1393826,False
51,1,2,51,1,264,1,5183.85,3,17,8,621.6,-0.17428456,0.8974979,False
52,1,1,67,0,145,1,14904.9,0,16,23,515.6395833333333,0.41128767,1.2418909,False
53,1,1,28,3,142,1,918.88,2,16,36,423.63680555555555,-0.78513676,0.538237,False
54,1,0,62,2,90,1,4477.78,4,17,13,585.5993055555556,-0.8467816,0.50198174,False
55,1,1,25,3,83,1,1324.03,3,17,31,457.59444444444443,-0.93710715,0.44885847,False
56,0,1,57,2,52,1,3534.93,3,17,50,325.59513888888887,-0.1326536,0.92198235,False
57,0,1,68,2,61,1,4638.37,1,17,9,611.6041666666666,-0.11960734,0.92965525,False
58,1,1,48,1,28,1,5630.61,1,16,23,513.6590277777777,-1.0354989,0.39099133,False
59,1,1,23,3,51,1,930.3,5,16,40,398.65,-0.26349258,0.8450319,False
60,1,0,46,1,152,1,5499.91,0,18,40,394.55694444444447,-0.15781839,0.90718216,False
61,1,1,79,2,227,2,4175.02,5,16,20,537.6694444444445,0.050342973,1.0296082,False
62,1,2,48,1,226,1,6651.62,2,16,45,362.6388888888889,-0.4037758,0.76252705,False
63,0,1,56,1,104,1,8458.29,2,17,22,523.6006944444445,-0.8366845,0.50792015,False
64,1,2,50,0,124,1,13988.12,5,16,44,367.6736111111111,0.41240895,1.2425504,False
65,0,1,42,1,186,1,2585.07,5,17,13,585.6326388888889,-0.40290758,0.7630377,False
66,1,1,56,2,225,1,3014.75,4,16,17,558.6659722222222,-0.8519265,0.49895582,False
67,1,1,25,3,128,1,1951.42,6,18,16,565.5638888888889,0.10320298,1.0606968,False
68,0,2,60,1,16,1,3665.77,1,16,6,633.6479166666667,0.45404997,1.2670407,False
69,0,1,32,1,103,1,977.01,2,16,46,356.6430555555556,-0.2399102,0.85890144,False
70,1,0,44,1,220,1,3846.28,4,16,29,474.66527777777776,-0.869289,0.48874444,False
71,1,2,35,1,135,1,6374.82,3,17,2,660.63125,-0.44355255,0.7391331,False
72,1,0,62,2,55,1,5866.01,6,18,27,488.5777777777778,-0.07498432,0.9558994,False
73,0,2,26,3,280,1,6537.62,2,16,42,380.6347222222222,0.8099989,1.4763852,False
74,1,1,20,3,24,1,605.95,0,16,40,396.6458333333333,0.16708536,1.098268,False
75,1,0,37,1,51,1,6689.87,3,17,52,311.6097222222222,-0.2939009,0.82714784,False
76,1,2,22,3,113,1,634.17,2,17,24,510.59375,-0.59114665,0.6523285,False
77,1,1,44,0,69,1,14676.05,5,16,11,601.6520833333333,0.3200642,1.1882396,False
78,1,1,19,3,77,1,1362.39,0,18,51,321.55555555555554,0.86784065,1.5104038,False
79,1,2,50,0,67,1,10528.34,4,18,29,475.5527777777778,-0.119250596,0.92986506,False
80,1,0,38,1,102,1,552.52,3,18,25,503.57430555555555,-0.5892604,0.65343785,False
81,0,2,58,1,80,1,6451.96,2,17,43,377.62152777777777,-0.31917536,0.81228316,False
82,1,0,63,2,87,1,4715.84,5,16,4,650.6520833333333,-0.1392954,0.9180761,False
83,1,2,49,0,170,1,7176.86,3,16,45,363.64930555555554,-0.45438278,0.7327635,False
84,1,2,34,0,157,1,1523.72,3,16,27,489.6451388888889,-0.7867061,0.537314,False
85,0,2,54,1,30,1,8654.28,0,17,39,401.6138888888889,0.18270844,1.1074564,False
86,1,1,64,0,69,1,9869.93,6,17,42,380.6145833333333,-0.046230055,0.9728107,False
87,1,0,48,0,115,1,10556.81,1,17,35,433.6277777777778,-0.5327324,0.6866837,False
88,0,2,58,0,179,1,12883.91,3,18,25,500.56388888888887,0.7150104,1.4205196,False
89,1,2,24,3,100,1,791.65,2,16,47,349.65277777777777,-0.04434421,0.9739198,False
90,0,2,60,2,34,1,4064.02,2,16,37,416.6381944444444,-0.24777384,0.8542766,False
91,1,0,53,1,55,4,2929.91,2,16,40,398.64722222222224,2.7189338,2.5990884,True
92,1,1,21,3,135,1,618.05,4,18,13,587.5791666666667,-0.019819917,0.9883433,False
93,1,2,19,3,260,1,1375.8,2,16,51,318.6465277777778,0.87987775,1.5174831,False
