,TransactionType,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,TransactionDate_hour,TransactionWeekNumber,DaysSinceLastPurchase,MSE_VAE_zscores,MSE_VAE,MSE_VAE_Fraud
0,1,0,70,0,81,1,5112.21,2,16,15,572.6520833333333,-0.43380356,0.74543893,False
1,1,0,68,0,141,1,13758.91,3,16,26,495.6423611111111,0.0047661853,1.0052352,False
2,1,2,19,3,56,1,1122.35,1,18,28,482.57708333333335,0.12414701,1.075953,False
3,1,2,26,3,25,1,8569.06,3,16,18,548.6506944444444,-0.25548196,0.8510716,False
4,0,2,26,3,198,1,7429.4,0,17,42,384.59375,0.48280892,1.2884141,False
5,1,0,18,3,172,1,781.68,0,17,14,580.61875,0.08809172,1.0545949,False
6,0,0,37,0,139,1,13316.71,4,16,7,627.6486111111111,0.78305686,1.4662725,False
7,0,1,67,2,291,1,2796.24,4,17,19,545.5993055555556,0.2179266,1.1315054,False
8,0,1,51,1,86,1,9095.14,5,16,12,593.6333333333333,-0.24468578,0.85746694,False
9,1,0,55,0,120,1,1021.88,0,16,13,583.6666666666666,-0.15488261,0.9106638,False
10,0,2,52,1,59,1,7599.52,0,16,11,600.6388888888889,0.20734899,1.1252395,False
11,1,2,21,3,173,1,1528.81,1,17,6,636.6090277777778,0.12692554,1.0775989,False
12,0,1,24,3,111,1,1620.02,2,17,23,515.6159722222222,-0.45080015,0.73537064,False
13,1,0,26,3,123,1,189.69,1,16,47,349.64444444444445,-0.023947043,0.9882263,False
14,1,2,18,3,134,1,299.93,4,16,7,629.6368055555556,0.20085917,1.1213951,False
15,1,0,36,1,129,1,3465.54,6,16,50,327.6590277777778,-0.065764464,0.96345484,False
16,0,1,19,3,158,1,1131.26,1,16,44,370.6354166666667,0.27466118,1.1651133,False
17,1,2,39,1,234,1,5109.97,5,18,50,325.56875,0.5397741,1.3221587,False
18,0,1,59,2,106,1,7948.37,6,16,8,621.6361111111111,0.1890057,1.1143734,False
19,0,2,18,3,169,1,6568.59,3,18,23,514.5770833333333,0.36345866,1.2177144,False
20,1,1,71,2,38,1,5750.89,3,16,9,614.6479166666667,-0.47045988,0.7237248,False
21,1,1,38,0,93,1,9146.19,2,18,32,450.5673611111111,-0.5878109,0.6542094,False
22,1,2,39,1,120,1,8974.93,1,18,23,516.5506944444444,-0.4064596,0.76163673,False
23,1,2,22,3,142,3,1402.5,1,18,18,551.5708333333333,1.5798212,1.938253,False
24,1,2,21,3,96,1,1930.96,1,16,9,612.6416666666667,-0.000547576,1.0020875,False
25,0,2,65,2,276,1,3634.67,3,17,42,380.59444444444443,0.5117135,1.3055364,False
26,1,0,23,3,158,5,673.35,5,16,16,566.6486111111111,6.155122,4.648531,True
27,1,1,37,1,95,1,2686.52,5,16,13,585.6451388888889,-0.8910089,0.47460347,False
28,1,2,44,0,197,1,1772.06,5,16,4,649.6618055555556,0.22209068,1.133972,False
29,1,1,27,3,283,1,1351.69,2,16,38,410.63402777777776,0.10705725,1.0658295,False
30,0,2,59,0,20,1,8334.47,3,17,29,475.59722222222223,-0.048625194,0.97360766,False
31,1,0,29,0,257,1,9823.64,0,16,6,636.6541666666667,0.87681997,1.5218151,False
32,1,0,49,1,168,3,9690.15,5,16,39,405.65625,0.920849,1.5478966,False
33,1,2,22,3,150,1,399.0,1,17,11,601.6138888888889,-0.07193118,0.95980185,False
34,0,1,45,0,50,1,14815.87,4,16,43,373.64444444444445,0.6374145,1.3799981,False
35,1,1,49,1,45,1,5764.72,0,16,42,384.6486111111111,-0.702897,0.5860356,False
36,1,1,26,3,145,1,900.61,6,16,47,348.6347222222222,0.11288921,1.0692842,False
37,1,0,75,2,137,1,4875.86,5,17,9,612.5958333333333,-0.21071987,0.8775874,False
38,1,0,66,0,90,2,7914.88,5,17,41,388.6277777777778,-0.04979863,0.97291255,False
